Applicant_ID,Applicant_Name,Annual_Income,Credit_Score,City,State,Employment_Status,Monthly_Rent
TG-100000,Applicant 0,99901.0,721, Newark,,Self-Employed,1460
TG-100001,Applicant 1,80852.0,722, Newark,ny,Unemployed,3513
TG-100002,Applicant 2,104431.0,543,Hoboken,NJ, full time ,4730
TG-100003,Applicant 3,130691.0,624,Brooklyn,NY,Part Time,2849
TG-100004,Applicant 4,77975.0,794,Brooklyn,ny, full time ,1876
TG-100005,Applicant 5,77976.0,579,Brooklyn,,Part Time,5139
TG-100006,Applicant 6,132376.0,534,Hoboken,,Unemployed,3135
TG-100007,Applicant 7,108023.0,604,Hoboken,N.J.,Self-Employed,2878
TG-100008,Applicant 8,70916.0,716, Newark,ny,Self-Employed,2392
TG-100009,Applicant 9,101277.0,754,Queens,NJ, full time ,3822
TG-100010,Applicant 10,71097.0,782,Queens,,Unemployed,1865
TG-100011,Applicant 11,71028.0,525,New York,NJ, full time ,2801
TG-100012,Applicant 12,92259.0,808,Hoboken,NJ,Self-Employed,3109
TG-100013,Applicant 13,,577,Queens,NY,Full Time,1387
TG-100014,Applicant 14,33252.0,664,Queens,NJ, full time ,1904
TG-100015,Applicant 15,68131.0,561,Brooklyn,N.J.,Part Time,4567
TG-100016,Applicant 16,54615.0,719,Brooklyn,ny,Self-Employed,4653
TG-100017,Applicant 17 ,94427.0,693,Brooklyn,ny,Part Time,2566
TG-100018,Applicant 18,57759.0,614,Jersey City,NY,Unemployed,3849
TG-100019,Applicant 19,42631.0,736,Queens,N.J.,Self-Employed,1534
TG-100020,Applicant 20,128969.0,630,Brooklyn,N.J.,Self-Employed,3584
TG-100021,Applicant 21,78227.0,699,Brooklyn,ny, full time ,1555
TG-100022,Applicant 22,87026.0,682,Hoboken,N.J., full time ,3122
TG-100023,Applicant 23,42258.0,638, Newark,,Part Time,4538
TG-100024,Applicant 24,68669.0,747,Brooklyn,NJ, full time ,1995
TG-100025,Applicant 25,88328.0,664,Hoboken,NJ,Full Time,1389
TG-100026,Applicant 26,50470.0,661,New York,ny,Self-Employed,5343
TG-100027,Applicant 27,96271.0,641,Brooklyn,ny,Unemployed,2013
TG-100028,Applicant 28,66981.0,804, Newark,N.J.,Self-Employed,3302
TG-100029,Applicant 29,76249.0,745,Hoboken,NY,Part Time,4610
TG-100030,Applicant 30,66949.0,776, Newark,ny, full time ,3366
TG-100031,Applicant 31,140568.0,804,Brooklyn,ny,Self-Employed,3450
TG-100032,Applicant 32,84595.0,684,New York,ny, full time ,2879
TG-100033,Applicant 33,53269.0,740,Brooklyn,N.J.,Part Time,3258
TG-100034,Applicant 34,109676.0,588,Hoboken,, full time ,2420
TG-100035,Applicant 35,48375.0,743,New York,ny,Unemployed,2827
TG-100036,Applicant 36,91266.0,643,New York,,Part Time,3580
TG-100037,Applicant 37,26210.0,999,New York,N.J.,Self-Employed,2599
TG-100038,Applicant 38,45154.0,571,Jersey City,NY,Self-Employed,1333
TG-100039,Applicant 39,90906.0,648,Hoboken,NJ,Unemployed,3363
TG-100040,Applicant 40,,654,Jersey City,NJ,Full Time,3909
TG-100041,Applicant 41,90141.0,999, Newark,NJ, full time ,2479
TG-100042,Applicant 42,81531.0,646,New York,NJ,Self-Employed,1752
TG-100043,Applicant 43,75967.0,745,Jersey City,N.J.,Unemployed,3286
TG-100044,Applicant 44,,590,Brooklyn,NJ, full time ,5094
TG-100045,Applicant 45,63405.0,792,Jersey City,N.J.,Part Time,4173
TG-100046,Applicant 46,71181.0,706,Queens,NY,Unemployed,2353
TG-100047,Applicant 47,116714.0,522, Newark,ny,Part Time,5358
TG-100048,Applicant 48,95309.0,804,New York,ny,Part Time,2154
TG-100049,Applicant 49,32109.0,541,New York,ny,Part Time,3777
TG-100050,Applicant 50,94723.0,685, Newark,N.J., full time ,4988
TG-100051,Applicant 51,73448.0,765, Newark,N.J.,Full Time,4268
TG-100052,Applicant 52,64692.0,753,Hoboken,N.J.,Part Time,1435
TG-100053,Applicant 53,103350.0,677,Brooklyn,NY,Self-Employed,4951
TG-100054,Applicant 54,115930.0,670, Newark,, full time ,4843
TG-100055,Applicant 55,112938.0,732, Newark,N.J., full time ,2308
TG-100056,Applicant 56,59823.0,737,Hoboken,N.J.,Part Time,2996
TG-100057,Applicant 57,75724.0,765, Newark,ny,Self-Employed,4673
TG-100058,Applicant 58,94938.0,795,Jersey City,NJ,Unemployed,2590
